a			ʌ
composers		kʌmpowˈzɚz
composes		kʌmpowˈzɪz
composing		kʌmpowˈzɪŋ
composite		kʌmpɑˈzʌt
composite(1)		kɑmpɑˈzʌt
composite's		kʌmpɑˈzʌts
composite's(1)		kɑmpɑˈzʌts
composites		kʌmpɑˈzʌts
composites(1)		kɑmpɑˈzʌts
composition		kɑˌmpʌzɪˈʃʌn
compositional		kɑˌmpʌzɪˈʃʌnʌl
compositions		kɑˌmpʌzɪˈʃʌnz
compost		kɑˈmpowst
composting		kɑˈmpowˌstɪŋ
composure		kʌmpowˈʒɚ
compote		kɑˈmpowt
compound		kɑˈmpawnd
compound(1)		kʌmpawˈnd
compounded		kʌmpawˈndʌd
compounded(1)		kʌmpawˈndɪd
compounding		kʌmpawˈndɪŋ
compounds		kɑˈmpawndz
compounds(1)		kʌmpawˈndz
comprehend		kɑˌmpɹihɛˈnd
comprehended		kɑˌmpɹɪhɛˈndɪd
comprehending		kɑˌmpɹɪhɛˈndɪŋ
comprehends		kɑˌmpɹihɛˈndz
comprehensibility	kɑˌmpɹihɛˌnsʌbɪˈlʌti
comprehensible		kɑˌmpɹihɛˈnsʌbʌl
comprehension		kɑˌmpɹihɛˈnʃʌn
comprehensive		kɑˌmpɹihɛˈnsɪv
comprehensively	kɑˌmpɹɪhɛˈnsɪvli
compress		kɑˈmpɹɛs
compress(1)		kʌmpɹɛˈs
compressed		kʌmpɹɛˈst
compresses		kɑˈmpɹɛsʌz
compresses(1)		kʌmpɹɛˈsʌz
compresses(2)		kʌmpɹɛˈsɪz
compressing		kʌmpɹɛˈsɪŋ
compression		kʌmpɹɛˈʃʌn
compressor		kʌmpɹɛˈsɚ
compressors		kʌmpɹɛˈsɚz
comprint		kɑˈmpɹɪˌnt
comprise		kʌmpɹajˈz
comprised		kʌmpɹajˈzd
comprises		kʌmpɹajˈzʌz
comprises(1)		kʌmpɹajˈzɪz
comprising		kʌmpɹajˈzɪŋ
compromise		kɑˈmpɹʌmajˌz
compromised		kɑˈmpɹʌmajˌzd
compromiser		kɑˈmpɹʌmajˌzɚ
compromises		kɑˈmpɹʌmajˌzɪz
compromising		kɑˈmpɹʌmajˌzɪŋ
compston		kɑˈmpstʌn
comptek		kɑˈmptɛˌk
compton		kɑˈmptʌn
compton's		kɑˈmptʌnz
comptroller		kʌmtɹowˈlɚ
comptroller(1)		kɑˈmtɹowˌlɚ
comptroller's		kʌmtɹowˈlɚz
comptroller's(1)	kɑˈmtɹowˌlɚz
comptronix		kɑˌmptɹɑˈnɪˌks
compu			kɑˈmpju
compuadd		kɑˈmpjuæˌd
compuchem		kɑˈmpjukɛˌm
compudyne		kɑˈmpjudajˌn
compufund		kɑˈmpjufʌˌnd
compugraphic		kɑˌmpjugɹæˈfɪk
compulsion		kʌmpʌˈlʃʌn
compulsions		kʌmpʊˈlʃʌnz
compulsive		kʌmpʌˈlsɪv
compulsively		kʌmpʌˈlsɪvli
compulsory		kʌmpʌˈlsɚi
compumat		kɑˈmpjumæˌt
compunction		kʌmpʌˈŋkʃʌn
compus			kɑˈmpjuz
compusa		kɑˈmpjuˈɛˈsejˈ
compusa's		kɑˈmpjuˈɛˈsejˈz
compuserve		kɑˈmpjusɚv
compuserve's		kɑˈmpjusɚvz
computalog		kɑˈmpjutæˌlɔg
computation		kɑˌmpjʌtejˈʃʌn
computational		kɑˌmpjutejˈʃʌnʌl
computations		kɑˌmpjutejˈʃʌnz
compute		kʌmpjuˈt
computed		kʌmpjuˈtʌd
computed(1)		kʌmpjuˈtɪd
computer		kʌmpjuˈtɚ
computer's		kʌmpjuˈtɚz
computercraft		kʌmpjuˈtɚkɹæˌft
computerization	kʌmpjuˌtɚɪzejˈʃʌn
computerize		kʌmpjuˈtɚajˌz
computerized		kʌmpjuˈtɚajˌzd
computerizing		kʌmpjuˈtɚajˌzɪŋ
computerland		kʌmpjuˈtɚlæˌnd
computerland's		kʌmpjuˈtɚlæˌndz
computerlike		kʌmpjuˈtɚlajˌk
computers		kʌmpjuˈtɚz
computers'		kʌmpjuˈtɚz
computervision		kʌmpjuˈtɚvɪˌʒʌn
computerworld		kʌmpjuˈtɚwɚˌld
computes		kʌmpjuˈts
computing		kʌmpjuˈtɪŋ
computrac		kɑˈmpjutɹæˌk
compuware		kɑˈmpjuwɛˌɹ
comrade		kɑˈmɹæˌd
comrades		kɑˈmɹæˌdz
comrie			kɑˈmɚi
coms			kɑˈmz
comsat			kɑˈmsæt
comsat's		kɑˈmsæts
comstock		kɑˈmstɑˌk
comtois		kʌmtwɑˈ
comtrex		kɑˈmtɹɛˌks
comunale		kowmunɑˈli
con			kɑˈn
cona			kowˈnʌ
conable		kowˈnʌbʌl
conable's		kowˈnʌbʌlz
conagra		kɑˌnæˈgɹʌ
conagra's		kɑˌnæˈgɹʌz
conahan		kɑˈnʌhæn
conair			kɑˈnɛˌɹ
conal			kowˈnʌl
conan			kowˈnʌn
conant			kowˈnʌnt
conant-pablos		kowˈnʌntpɑˈblows
conard			kɑˈnɚd
conasupo		kɑˌnʌsuˈpow
conatser		kɑˈnʌtsɚ
conaty			kɑˈnʌti
conaway		kɑˈnʌwej
conboy			kɑˈnbɔj
conca			kɑˈŋkʌ
concannon		kʌnkæˈnʌn
concatenate		kʌnkæˈtʌnejˌt
concatenated		kʌnkæˈtʌnejˌtʌd
concatenates		kʌnkæˈtʌnejˌts
concatenating		kʌnkæˈtʌnejˌtɪŋ
concatenation		kʌnkæˌtʌnejˈʃʌn
concave		kɑnkejˈv
concave(1)		kɑˈnkejv
conceal		kʌnsiˈl
concealed		kʌnsiˈld
concealing		kʌnsiˈlɪŋ
concealment		kʌnsiˈlmʌnt
conceals		kʌnsiˈlz
concede		kʌnsiˈd
conceded		kʌnsiˈdɪd
concedes		kʌnsiˈdz
conceding		kʌnsiˈdɪŋ
conceit		kʌnsiˈt
conceited		kʌnsiˈtʌd
conceivable		kʌnsiˈvʌbʌl
conceivably		kʌnsiˈvʌbli
conceive		kʌnsiˈv
conceived		kʌnsiˈvd
conceiving		kʌnsiˈvɪŋ
concentrate		kɑˈnsʌntɹejˌt
concentrated		kɑˈnsʌntɹejˌtʌd
concentrated(1)	kɔˈnsʌntɹejˌtɪd
concentrates		kɑˈnsʌntɹejˌts
concentrating		kɑˈnsʌntɹejˌtɪŋ
concentration		kɑˌnsʌntɹejˈʃʌn
concentrations		kɑˌnsʌntɹejˈʃʌnz
concentric		kʌnsɛˈntɹɪk
concepcion		kʌnsɛˌpsiowˈn
concept		kɑˈnsɛpt
conception		kʌnsɛˈpʃʌn
conceptions		kʌnsɛˈpʃʌnz
concepts		kɑˈnsɛpts
concepts(1)		kɑˈnsɛps
conceptual		kʌnsɛˈpʧuʌl
conceptualization	kʌnsɛˈpʧwʌlɪzejˌʃʌn
conceptually		kʌnsɛˈpʧuʌli
concern		kʌnsɚˈn
concern's		kʌnsɚˈnz
concerned		kʌnsɚˈnd
concerning		kʌnsɚˈnɪŋ
concerns		kʌnsɚˈnz
concerns'		kʌnsɚˈnz
concert		kɑˈnsɚt
concert(1)		kʌnsɚˈt
concerted		kʌnsɚˈtʌd
concerted(1)		kʌnsɚˈtɪd
concerti		kʌnʧɛˈɹti
concertina		kɑnsɚtiˈnʌ
concertmaster		kɑˈnsɚtmæˌstɚ
concerto		kʌnʧɛˈɹtow
concertos		kʌnʧɛˈɹtowz
concerts		kɑˈnsɚts
concerts(1)		kʌnsɚˈts
concession		kʌnsɛˈʃʌn
concessionaire		kʌnsɛˌʃʌnɛˈɹ
concessional		kʌnsɛˈʃʌnʌl
concessionary		kʌnsɛˈʃʌnɛˌɹi
concessions		kʌnsɛˈʃʌnz
conch			kɑˈnʧ
conch(1)		kɑˈŋk
concha			kɑˈnʧʌ
conchemco		kɑˌnʧɛˈmkow
conchita		kʌnʧiˈtʌ
conchoid		kɑˈnʧɔjd
concierge		kɑˌnsiɛˈɹʒ
conciliation		kʌnsɪˌliejˈʃʌn
conciliator		kʌnsɪˈliejˌtɚ
conciliator's		kʌnsɪˈliejˌtɚz
conciliatory		kʌnsɪˈliˌʌtɔˌɹi
conciliatory(1)	kʌnsɪˈljʌtɔˌɹi
concise		kʌnsajˈs
concisely		kʌnsajˈsli
conclave		kɑˈnklejˌv
conclude		kʌnkluˈd
concluded		kʌnkluˈdʌd
concluded(1)		kʌnkluˈdɪd
concludes		kʌnkluˈdz
concluding		kʌnkluˈdɪŋ
conclusion		kʌnkluˈʒʌn
conclusions		kʌnkluˈʒʌnz
conclusive		kʌnkluˈsɪv
conclusively		kʌnkluˈsɪvli
concoct		kʌnkɑˈkt
concocted		kʌnkɑˈktʌd
concocting		kʌnkɑˈktɪŋ
concoction		kʌnkɑˈkʃʌn
concoctions		kʌnkɑˈkʃʌnz
concomitant		kɑˌnkɑˈmʌtʌnt
concomitant(1)		kɑˌnkʌmɪˈtʌnt
concomitantly		kɑˌnkɑˈmʌtʌntli
concomitantly(1)	kɑˌnkʌmɪˈtʌntli
concord		kɑˈnkɔˌɹd
concord(1)		kɑˈnkɚd
concord's		kɑˈnkɔˌɹdz
concord's(1)		kɑˈnkɚdz
concorde		kɑˈnkɔˌɹd
concourse		kɑˈnkɔˌɹs
concourses		kɑˈnkɔˌɹsɪz
concrete		kʌnkɹiˈt
concrete(1)		kɑˈnkɹit
concretely		kɑˈnkɹiˌtli
concubinage		kɑnkjuˈbʌnʌʤ
concubine		kɑˈnkjʌbajˌn
concubines		kɑˈnkjʌbajˌnz
concur			kʌnkɚˈ
concurred		kʌnkɚˈd
concurrence		kʌnkɚˈʌns
concurrent		kʌnkɚˈʌnt
concurrently		kʌnkɚˈʌntli
concurring		kʌnkɚˈɪŋ
concurs		kʌnkɚˈz
concussion		kʌnkʌˈʃʌn
concussions		kʌnkʌˈʃʌnz
conde			kɑˈnd
condello		kʌndɛˈlow
condemn		kʌndɛˈm
condemnation		kɑˌndʌmnejˈʃʌn
condemnations		kɑˌndʌmnejˈʃʌnz
condemned		kʌndɛˈmd
condemning		kʌndɛˈmɪŋ
condemns		kʌndɛˈmz
condensate		kɑˈndʌnsejˌt
condensates		kɑˈndʌnsejˌts
condensation		kɑˌndʌnsejˈʃʌn
condense		kʌndɛˈns
condensed		kʌndɛˈnst
condenser		kʌndɛˈnsɚ
condensing		kʌndɛˈnsɪŋ
conder			kɑˈndɚ
condescend		kɑˌndɪsɛˈnd
condescending		kɑˌndɪsɛˈndɪŋ
condescension		kɑˌndʌsɛˈnʃʌn
condie			kɑˈndi
condiment		kɑˈndʌmʌnt
condiments		kɑˈndʌmʌnts
condit			kɑˈndɪt
condition		kʌndɪˈʃʌn
conditional		kʌndɪˈʃʌnʌl
conditionality		kʌndɪˌʃʌnæˈlɪti
conditionally		kʌndɪˈʃʌnʌli
conditionally(1)	kʌndɪˈʃnʌli
conditioned		kʌndɪˈʃʌnd
conditioner		kʌndɪˈʃʌnɚ
conditioners		kʌndɪˈʃʌnɚz
conditioning		kʌndɪˈʃʌnɪŋ
conditions		kʌndɪˈʃʌnz
conditt		kɑˈndɪt
condo			kɑˈndow
condolence		kʌndowˈlʌns
condolences		kʌndowˈlʌnsʌz
condom			kɑˈndʌm
condominium		kɑˌndʌmɪˈniʌm
condominiums		kɑˌndʌmɪˈniʌmz
condoms		kɑˈndʌmz
condon			kɑˈndʌn
condone		kʌndowˈn
condoned		kʌndowˈnd
condones		kʌndowˈnz
condoning		kʌndowˈnɪŋ
condor			kɑˈndɚ
condors		kɑˈndɚz
condos			kɑˈndowz
condra			kɑˈndɹʌ
condracky		kɑˌndɹæˈki
condracky's		kɑˌndɹæˈkiz
condray		kɑˈndɹej
condren		kɑˈndɚʌn
condrey		kɑˈndɹi
condron		kɑˈndɹʌn
condry			kɑˈndɚi
conducive		kʌnduˈsɪv
conduct		kʌndʌˈkt
conduct(1)		kɑˈndʌkt
conducted		kʌndʌˈktʌd
conducting		kʌndʌˈktɪŋ
conduction		kʌndʌˈkʃʌn
conductive		kʌndʌˈktɪv
conductivity		kɑˌndʌˌktɪˈvʌti
conductor		kʌndʌˈktɚ
conductors		kʌndʌˈktɚz
conducts		kʌndʌˈkts
conduit		kɑˈnduɪt
conduit(1)		kɑˈnʤuɪt
conduit(2)		kɑˈndwɪt
conduits		kɑˈnduʌts
conduits(1)		kɑˈndwʌts
cone			kowˈn
cone's			kowˈnz
coneflower		kowˈnflawˌɚ
conehead		kowˈnhɛd
coneheads		kowˈnhɛdz
conely			kowˈnli
conerly		kowˈnɚli
conery			kowˈnɚi
cones			kowˈnz
conestoga		kɑˌnʌstowˈgʌ
coney			kowˈni
confabulation		kʌnfæˌbjʌlejˈʃʌn
confair		kɑˈnfɛˌɹ
confect		kʌnfɛˈkt
confection		kʌnfɛˈkʃʌn
confectionaries	kʌnfɛˈkʃʌnɛˌɹiz
confectionary		kʌnfɛˈkʃʌnɛˌɹi
confectioner		kʌnfɛˈkʃʌnɚ
confectioners		kʌnfɛˈkʃʌnɚz
confectionery		kʌnfɛˈkʃʌnɛˌɹi
confections		kʌnfɛˈkʃʌnz
confederacy		kʌnfɛˈdɚʌsi
confederacy(1)		kʌnfɛˈdɹʌsi
confederacy's		kʌnfɛˈdɚʌsiz
confederacy's(1)	kʌnfɛˈdɹʌsiz
confederate		kʌnfɛˈdɚʌt
confederate(1)		kʌnfɛˈdɚejˌt
confederation		kʌnfɛˌdɚejˈʃʌn
confer			kʌnfɚˈ
conferee		kɑˌnfɚiˈ
conferees		kɑˌnfɚiˈz
conference		kɑˈnfɚʌns
conference(1)		kɑˈnfɹʌns
conference's		kɑˈnfɚʌnsɪz
conference's(1)	kɑˈnfɹʌnsɪz
conferences		kɑˈnfɚʌnsʌz
conferences(1)		kɑˈnfɹʌnsʌz
conferencing		kɑˈnfɹʌnsɪŋ
conferred		kʌnfɚˈd
conferring		kʌnfɚˈɪŋ
confers		kʌnfɚˈz
confess		kʌnfɛˈs
confessed		kʌnfɛˈst
confesses		kʌnfɛˈsɪz
confessing		kʌnfɛˈsɪŋ
confession		kʌnfɛˈʃʌn
confessional		kʌnfɛˈʃʌnʌl
confessionals		kʌnfɛˈʃʌnʌlz
confessions		kʌnfɛˈʃʌnz
confetti		kʌnfɛˈti
confidant		kɑˈnfʌdɑˌnt
confidante		kɑˈnfʌdæˌnt
confidants		kɑˈnfʌdæˌnts
confide		kʌnfajˈd
confided		kʌnfajˈdʌd
confided(1)		kʌnfajˈdɪd
confidence		kɑˈnfʌdʌns
confidence's		kɑˈnfʌdʌnsʌz
confidences		kɑˈnfʌdʌnsɪz
confident		kɑˈnfʌdʌnt
confidential		kɑˌnfʌdɛˈnʃʌl
confidential(1)	kɑˌnfʌdɛˈnʧʌl
confidentiality	kɑˌnfʌdɛˌnʃiæˈlʌti
confidentiality(1)	kɑˌnfʌdɛˌnʧiæˈlʌti
confidentially		kɑˌnfʌdɛˈnʃʌli
confidentially(1)	kɑˌnfʌdɛˈnʧʌli
confidently		kɑˈnfʌdʌntli
confides		kʌnfajˈdz
confiding		kʌnfajˈdɪŋ
configuration		kʌnfɪˌgjɚejˈʃʌn
configurations		kʌnfɪˌgjɚejˈʃʌnz
configure		kʌnfɪˈgjɚ
configured		kʌnfɪˈgjɚd
configuring		kʌnfɪˈgjɚɪŋ
confindustria		kɑˌnfɪndʌˈstɹiʌ
confine		kʌnfajˈn
confined		kʌnfajˈnd
confinement		kʌnfajˈnmʌnt
confines		kɑˈnfajˌnz
confines(1)		kʌnfajˈnz
confining		kʌnfajˈnɪŋ
confirm		kʌnfɚˈm
confirmable		kʌnfɚˈmʌbʌl
confirmation		kɑˌnfɚmejˈʃʌn
confirmations		kɑˌnfɚmejˈʃʌnz
confirmatory		kʌnfɚˈmʌtɔˌɹi
confirmed		kʌnfɚˈmd
confirming		kʌnfɚˈmɪŋ
confirms		kʌnfɚˈmz
confiscate		kɑˈnfʌskejˌt
confiscated		kɑˈnfʌskejˌtʌd
confiscating		kɑˈnfʌskejˌtɪŋ
confiscation		kɑˌnfʌskejˈʃʌn
confiscatory		kʌnfɪˈskʌtɔˌɹi
confiterias		kɑˌnfɪtɪˈɹiʌz
conflagration		kɑˌnflʌgɹejˈʃʌn
conflate		kʌnflejˈt
conflates		kʌnflejˈts
conflation		kʌnflejˈʃʌn
conflict		kɑˈnflɪkt
conflict(1)		kʌnflɪˈkt
conflicted		kʌnflɪˈktɪd
conflicting		kʌnflɪˈktɪŋ
conflicts		kʌnflɪˈkts
conflicts(1)		kɑˈnflɪkts
conflicts(2)		kʌnflɪˈks
conflicts(3)		kɑˈnflɪks
confluence		kɑˈnfluʌns
confluent		kɑnfluˈʌnt
conform		kʌnfɔˈɹm
conformance		kʌnfɔˈɹmʌns
conformational		kɑˌnfɚmejˈʃʌnʌl
conformed		kʌnfɔˈɹmd
conforming		kʌnfɔˈɹmɪŋ
conformist		kʌnfɔˈɹmɪst
conformists		kʌnfɔˈɹmʌsts
conformity		kʌnfɔˈɹmʌti
conforms		kʌnfɔˈɹmz
conforti		kɑnfɔˈɹti
confound		kɑnfawˈnd
confound(1)		kɑˈnfawˌnd
confound(2)		kʌnfawˈnd
confounded		kʌnfawˈndɪd
confounding		kʌnfawˈndɪŋ
confounds		kʌnfawˈndz
confrere		kɑˈnfɹɛɹ
confreres		kɑˈnfɹɛɹz
confront		kʌnfɹʌˈnt
confrontation		kɑˌnfɹʌntejˈʃʌn
confrontational	kɑˌnfɹʌntejˈʃʌnʌl
confrontations		kɑˌnfɹʌntejˈʃʌnz
confronted		kʌnfɹʌˈntʌd
confronted(1)		kʌnfɹʌˈntɪd
confronting		kʌnfɹʌˈntɪŋ
confronts		kʌnfɹʌˈnts
confucian		kʌnfjuˈʃʌn
confucianism		kʌnfjuˈʃʌnɪˌzʌm
confucius		kʌnfjuˈʃʌs
confuse		kʌnfjuˈz
confused		kʌnfjuˈzd
confuses		kʌnfjuˈzɪz
confusing		kʌnfjuˈzɪŋ
confusingly		kʌnfjuˈzɪŋli
confusion		kʌnfjuˈʒʌn
confusions		kʌnfjuˈʒʌnz
cong			kɔˈŋ
conga			kɔˈŋgʌ
congdon		kɑˈŋdʌn
congeal		kʌnʤiˈl
congealed		kʌnʤiˈld
congenial		kʌnʤiˈnjʌl
congeniality		kʌnʤiˌniæˈlʌti
congenital		kʌnʤɛˈnʌtʌl
conger			kɔˈŋɚ
congest		kʌnʤɛˈst
congested		kʌnʤɛˈstʌd
congested(1)		kʌnʤɛˈstɪd
congestion		kʌnʤɛˈsʧʌn
congestive		kʌnʤɛˈstɪv
congleton		kɑˈŋgʌltɑn
conglomerate		kʌnglɑˈmɚʌt
conglomerate's		kʌnglɑˈmɚʌts
conglomerates		kʌnglɑˈmɚʌts
conglomeration		kʌnglɑˌmɚejˈʃʌn
congo			kɑˈŋgow
congo's		kɑˈŋgowz
congolese		kɑˌngʌliˈz
congratulate		kʌngɹæˈʧʌlejˌt
congratulated		kʌngɹæˈʧʌlejˌtɪd
congratulating		kʌngɹæˈʧʌlejˌtɪŋ
congratulation		kʌngɹæˌʧʌlejˈʃʌn
congratulations	kʌngɹæˌʧʌlejˈʃʌnz
congratulatory		kʌngɹæˈʧʌlʌtɔˌɹi
congregant		kɑˈŋgɹʌgʌnt
congregants		kɑˈŋgɹʌgʌnts
congregate		kɑˈŋgɹʌgejˌt
congregated		kɑˈŋgɹɪgejˌtɪd
congregation		kɑˌŋgɹʌgejˈʃʌn
congregation's		kɑˌŋgɹʌgejˈʃʌnz
congregational		kɑˌŋgɹʌgejˈʃʌnʌl
congregations		kɑˌŋgɹʌgejˈʃʌnz
congress		kɑˈŋgɹʌs
congress'		kɑˈngɹʌsɪz
congress'(1)		kɑˈŋgɹʌs
congress's		kɑˈŋgɹʌsɪz
congresses		kɑˈŋgɹʌsɪz
congressional		kʌngɹɛˈʃʌnʌl
congressionally	kʌngɹɛˈʃʌnʌli
congressionally(1)	kʌngɹɛˈʃnʌli
congressman		kɑˈŋgɹʌsmʌn
congressman's		kɑˈŋgɹʌsmʌnz
congressmen		kɑˈŋgɹʌsmɪn
congresspeople		kɑˈŋgɹʌspiˌpʌl
congressperson		kɑˈŋgɹʌspɚˌsʌn
congresspersons	kɑˈŋgɹʌspɚˌsʌnz
congresswoman		kɑˈŋgɹʌswʊˌmʌn
congresswoman's	kɑˈŋgɹʌswʊˌmʌnz
congresswomen		kɑˈŋgɹʌswɪˌmɪn
congrove		kɑˈŋgɹʌv
congruence		kɔˈngɹuʌns
congruity		kʌngɹuˈʌti
conic			kɑˈnɪk
conic(1)		kowˈnɪk
conical		kɑˈnɪkʌl
conical(1)		kowˈnɪkʌl
conics			kɑˈnɪks
conics(1)		kowˈnɪks
conifer		kɑˈnʌfɚ
conifer's		kɑˈnʌfɚz
coniferous		kʌnɪˈfɚʌs
conifers		kɑˈnʌfɚz
conigliaro		kʌnɪˌgliɑˈɹow
coniglio		kʌnɪˈgliow
coniston		kɑˈnʌstʌn
conjecture		kʌnʤɛˈkʧɚ
conjecture(1)		kʌnʤɛˈkʃɚ
conjectures		kʌnʤɛˈkʧɚz
conjectures(1)		kʌnʤɛˈkʃɚz
conjoin		kɑˌnʤɔjˈn
conjoined		kɑˌnʤɔjˈnd
conjugal		kɑˈnʤʌgʌl
conjugate		kɑˌnʤʌgejˈt
conjugate(1)		kɑˈnʤʌgejˌt
conjugated		kɑˌnʤʌgejˈtɪd
conjugated(1)		kɑˈnʤʌgejˌtɪd
conjugates		kɑˌnʤʌgejˈts
conjugates(1)		kɑˈnʤʌgejˌts
conjugation		kɑˌnʤʌgejˈʃʌn
conjugations		kɑˌnʤʌgejˈʃʌnz
conjul			kɑˈnʤʌl
conjunction		kʌnʤʌˈŋkʃʌn
conjunctions		kʌnʤʌˈŋkʃʌnz
conjunctiva		kɑˌnʤʌŋktajˈvʌ
conjure		kɑˈnʤɚ
conjured		kɑˈnʤɚd
conjures		kɑˈnʤɚz
conjuring		kɑˈnʤɚɪŋ
conjuror		kɑˈnʤɚɚ
conk			kɑˈŋk
conkel			kɑˈŋkʌl
conkey			kɑˈnki
conkin			kɑˈŋkɪn
conkle			kɑˈŋkʌl
conklin		kɑˈŋklɪn
conkling		kɑˈŋklɪŋ
conkright		kɑˈŋkɹajˌt
conlan			kɑˈnlʌn
conlee			kɑˈnli
conley			kɑˈnli
conlin			kɑˈnlɪn
conlon			kɑˈnlʌn
conlow			kɑˈnlow
conly			kɑˈnli
conn			kɑˈn
conn.			kɑˈn
conn.(1)		kʌnɛˈtʌkʌt
connally		kɑˈnʌli
connally's		kɑˈnʌliz
connan			kɑˈnʌn
connaught		kɑˈnɔt
connaught's		kɑˈnɔts
connaughton		kɑˈnɔtɑn
connaway		kɑˈnʌwejˌ
connect		kʌnɛˈkt
connected		kʌnɛˈktʌd
connected(1)		kʌnɛˈktɪd
connecter		kʌnɛˈktɚ
connecticut		kʌnɛˈtʌkʌt
connecticut's		kʌnɛˈtʌkʌts
connecting		kʌnɛˈktɪŋ
connection		kʌnɛˈkʃʌn
connections		kʌnɛˈkʃʌnz
connective		kʌnɛˈktɪv
connectivity		kʌnɛktɪˈvɪti
connector		kʌnɛˈktɚ
connectors		kʌnɛˈktɚz
connects		kʌnɛˈkts
conned			kɑˈnd
conneely		kʌniˈli
connell		kɑˈnʌl
connelley		kɑˈnɪli
connelly		kɑˈnʌli
connelly's		kɑˈnʌliz
connely		kɑˈnli
conner			kɑˈnɚ
conner's		kɑˈnɚz
connerly		kɑˈnɚli
conners		kɑˈnɚz
connery		kɑˈnɚi
connery's		kɑˈnɚiz
connett		kɑˈnɪt
connick		kɑˈnɪk
connie			kɔˈni
connie's		kɔˈniz
conniff		kɑˈnɪf
conning		kɑˈnɪŋ
conniption		kʌnɪˈpʃʌn
connivance		kʌnajˈvʌns
connive		kʌnajˈv
conniving		kʌnajˈvɪŋ
connoisseur		kɑˌnʌsɚˈ
connoisseurs		kɑˌnʌsɚˈz
connole		kɑˈnʌl
connolly		kɔˈnʌli
connon			kɑˈnʌn
connor			kɑˈnɚ
connors		kɑˈnɚz
connotation		kɑˌnʌtejˈʃʌn
connotational		kɑˌnʌtejˈʃʌnʌl
connotations		kɑˌnʌtejˈʃʌnz
connote		kʌnowˈt
connotes		kʌnowˈts
conny			kɑˈni
conoco			kɑˈnʌkow
conoco(1)		kʌnɑˈkow
conoco's		kɑˈnʌkowz
conolly		kɑˈnowli
conoly			kɑˈnowli
conover		kɑˈnʌvɚ
conquer		kɑˈŋkɚ
conquered		kɑˈŋkɚd
conquering		kɑˈŋkɚɪŋ
conqueror		kɑˈŋkɚɚ
conqueror's		kɑˈŋkɚɚz
conquerors		kɑˈŋkɚɚz
conquers		kɑˈŋkɚz
conquest		kɑˈŋkwɛst
conquest's		kɑˈŋkwɛsts
conquests		kɑˈnkwɛˌsts
conrac			kɑˈnɹæk
conrad			kɑˈnɹæd
conrad's		kɑˈnɹædz
conrades		kʌnɹejˈdz
conradi		kɑnɹɑˈdi
conradine		kɑˈnɹʌdajˌn
conrads		kɑˈnɹædz
conradt		kɑˈnɹæt
conrady		kʌnɹɑˈdi
conrail		kɑˈnɹejˌl
conrail's		kɑˈnɹejˌlz
conran			kɑˈnɹʌn
conrath		kɑˈnɹʌθ
conrey			kɑˈnɹi
conroe			kɑˈnɹow
conrow			kɑˈnɹow
conroy			kɔˈnɹɔj
conry			kɑˈnɹi
cons			kɑˈnz
consalvo		kɑnsɑˈlvow
conscience		kɑˈnʃʌns
consciences		kɑˈnʧɪnsɪz
conscientious		kɑˌnʃiɛˈnʃʌs
conscientiously	kɑˌnʧiɛˈnʧʌsli
conscious		kɑˈnʃʌs
consciously		kɑˈnʃʌsli
consciousness		kɑˈnʃʌsnʌs
conscript		kɑˈnskɹɪˌpt
conscript(1)		kʌnskɹɪˈpt
conscripted		kʌnskɹɪˈptɪd
conscription		kʌnskɹɪˈpʃʌn
conscripts		kɑˈnskɹɪpts
conseco		kɑnsejˈkow
conseco(1)		kʌnsejˈkow
conseco's		kɑnsejˈkowz
conseco's(1)		kʌnsejˈkowz
consecrate		kɑˈnsʌkɹejˌt
consecrated		kɑˈnsʌkɹejˌtʌd
consecrated(1)		kɑˈnsʌkɹejˌtɪd
consecration		kɑˌnsʌkɹejˈʃʌn
consecrations		kɑˌnsʌkɹejˈʃʌnz
consecutive		kʌnsɛˈkjʌtɪv
consecutively		kʌnsɛˈkjʌtɪvli
consensual		kʌnsɛˈnsuʌl
consensual(1)		kʌnsɛˈnʃuʌl
consensus		kʌnsɛˈnsʌs
consent		kʌnsɛˈnt
consented		kʌnsɛˈntɪd
consented(1)		kʌnsɛˈnɪd
consenting		kʌnsɛˈntɪŋ
consenting(1)		kʌnsɛˈnɪŋ
consentino		kɑnsɛntiˈnow
consents		kʌnsɛˈnts
consequence		kɑˈnsʌkwʌns
consequences		kɑˈnsʌkwɛˌnsʌz
consequent		kɑˈnsʌkwʌnt
consequential		kɑˌnsʌkwɛˈnʧʌl
consequently		kɑˈnsʌkwʌntli
consequently(1)	kɑˈnsʌkwɛˌntli
conser			kɑˈnsɚ
conservancy		kʌnsɚˈvʌnsi
conservancy's		kʌnsɚˈvʌnsiz
conservation		kɑˌnsɚvejˈʃʌn
conservationist	kɑˌnsɚvejˈʃʌnɪst
conservationists	kɑˌnsɚvejˈʃʌnɪsts
conservatism		kʌnsɚˈvʌtɪˌzʌm
conservative		kʌnsɚˈvʌtɪv
conservatively		kʌnsɚˈvʌtɪvli
conservatives		kʌnsɚˈvʌtɪvz
conservatives'		kʌnsɚˈvʌtɪvz
conservativism		kʌnsɚˈvʌtɪvɪˌzʌm
conservator		kʌnsɚˈvʌtɚ
conservatories		kʌnsɚˈvʌtɔˌɹiz
conservators		kʌnsɚˈvʌtɚz
